Name,Description,Average Score,Number of Reviews,Publishing Year
Undermountain: Maddgoth's Castle,"From the back cover: This Dungeon Crawl adventure returns once again to the hallowed halls of Undermountain and into an adventure like those AD&D game archetypes of years past. This is a stand-alone module and does not require extra support materials. It can be placed easily into a campaign on any AD&D world, but best fits a Forgotten Realms campaign set in Undermountain or Waterdeep.",6.88889,9,1996
Dvärgar i Chronopia,"From the back of the book (Swedish): Jaså, du vet redan allt som finns att veta om dvärgar, en riktig expert förmodar jag? Hmmm... då kanske du kan ta med mig på en guidad tur genom Riket och Stubbstan, ge mig fullständig information om klanerna och de märkliga dvärgiska yrkena - jag har alltid undrat över agenterna. Va? Vet du inte ens vilka de är! Det är nog bäst om du följer med mig istället, men håll dig tätt intill mig så att inte en tatuerad bärsärk får för sig något, så skall jag till och med ta med dig till Underjorden och dessutom visa dig sjöarna och porten. Nu har du chansen att bli riktig expert på Chronopias dvärgar, för en smärre slant förstås. Nå, vad tycker du. Skall vi börja? Rough translation: Title: Dwarves in Chronopia So, you already know everything there is to know about dwarves; an expert, I presume? Hmmm... then maybe you can take me on a guided tour through The Realm and Stubb City; give me complete information about the clans and the strange dwarven professions—I've always wondered about the agents. What? You don't even know who they are! It's better that you come with me instead, but keep close to me so not a tattooed berserker gets ideas, and I'll even take you to the Underground and also show you the lakes and the Gate. Now is your chance to become a real expert in the dwarves of Chronopia, for a smaller amount of course. Well, what do you say. Shall we begin?",7.0,1,1996
Blood Dawn,""" ""Blood Dawn is a role-playing game designed by Lawrence R. Sims and first published in 1996. The game's tagline is Roleplaying in Earth's Second Dark Age. The Blood Dawn license was later sold by Optimus Design Systems (ODS) to SSDC, Inc. in September 1999. Blood Dawn is set in an alternate 21st century timeline, on Earth. Characters can play ""normal"" humans or mutants."""" Source: Wikipedia, ""Blood_Dawn,"" available under the CC-BY-SA License.",0.0,0,1996
Technical Manual (1st Edition),"From the back cover: Nothing drives technological advancement quite like warfare, and Terra Nova has seen more than its fair share. In TN 1933 (6132 A.D.) almost every aspect of technology has greatly advanced: from new armor-grade materials and deadly Heavy Gears, to the ability to perform extensive genetic manipulations and design computers that learn by themselves. The Technical Manual examines the technology of the world of Heavy Gear and provides full background and development information along with technical illustrations. Also featured are complete rules for using, repairing and modifying technology in Heavy Gear campaigns and games, along with twenty-three new types of ammunition for projectile and missile weapons.",7.35714,7,1996
Beyond the Boundaries,"Beyond the Boundaries contains: Spells for the lores of Death and Time & Space 4 Occult Sciences: Alchemy, Astrology, Numerology, and Voudoo New Character Archetypes Rules for creating your own spells Magical Artifacts",6.3,10,1996
The World of Aden,"From the back cover: ""The World of Aden features everything you need to start a role-playing campaign in this exciting fantasy setting. You'll learn about the kingdoms of Aden, the Orders that serve them, and the hideous nocturnals that threaten their very existence. Delve into the secrets of mechamagic; ride one the awe-inspiring thunder trains; battle to save a world from overwhelming evil. Also included are character templates for use in the World of Aden, new equipment, spells and Background Options."" and ""Based on the hit computer roleplaying game series by SSI.""",3.5,2,1996
Prelude to War,"From publisher blurb: BARSAIVE WILL NEVER BE THE SAME! Since the end of the Theran War, Barsaive has remained stable and at peace. But those peaceful days are ending, as events unfold that promise change and danger for Barsaive's people. - The arrival of a city-sized stone airship marks the long-dreaded return of the Theran Empire to Barsaive, the first step in the Therans' scheme to reconquer the province they once ruled... - The brutal assassination of King Varulus III brings Crown Prince Neden to the throne of Throal--an untried, hotheaded youth who begins his reign as king with a military assault against Theran forces in Barsaive... - A Theran magician's search for a young girl with mysterious powers draws the attention of Barsaive's great dragons, who want her for their own... - A new ork nation slowly forms in southwest Barsaive, as orks from all across the province migrate to their new homeland. Once enslaved and long disregarded, the orks mean to claim power and respect at last... Prelude to War is a campaign supplement for Earthdawn. It describes four significant events occurring in Barsaive, each of which can form the core of a mini-campaign. Together, these four events create an Earthdawn epic that spells irrevocable change for Barsaive--and for the entire Earthdawn universe. Prelude to War is intended for characters of Fourth Circle and above, of any Disciplines.",7.7,10,1996
HârnMaster,"The HârnMaster character generation system gives players a rich Hârnic experience. Characters may start the game with a wide variety of interesting occupations, and at various levels of experience. Introductions to religious, Shek-Pvar, and Military occupations are included. Average incomes for all occupations and information about the guild system is included. Character contacts with (potentially) influential people are generated allowing players to explore relationships and advance their social standing. HârnMaster uses a realistic interactive combat system that gives players many tactical options to control their combat destiny. The system is elegant, simple and easy to use.",7.26667,18,1996
Northern Vehicles Compendium One: Gears & Striders,"From the back of the book: The Vehicle Compendium series showcase the most common pieces of vehicular equipment used by the armed forces of Terra Nova in the 62nd century. This first volume contains the Gears and striders originally found in Field Guides N1 and N2, along with all the weapons, perks and flaws found in these two books, and a wealth of new material. This Compendium provides descriptions, service records, blueprints and game statistics for fifteen of the most commonly used northern Heavy Gear classes, along with seventy vehicles based on these basic chassis. Two strider classes and six variants provide additional fire support. The future is also covered with in-depth examinations of five Gear and strider development projects currently under study. Many vehicular weapons are also detailed, as well as over fifteen Perks and Flaws. The Northern Vehicle Compendium contains much more vehicle-related information, such as: - The complete development history of the first true Heavy Gear, the Hunter; - The history, organization and area of expertise of six Gear-related corporations; - A listing of tactical missions and theaters of operation, along with their use in the tactical game; - A guide to the Vehicle Recognition codes; - An examination of the most commonly used camouflage patterns; - A complete description, list of equipment and floor plan for a Modular Advanced Maintenance Outpost [MAMO] field hangar; - And multiple game aids such as a blank vehicle data sheet, comparative vehicle charts and a complete listing of current Heavy Gear weaponry.",7.16667,6,1996
California Free State,"""Which California are you comin' to for biz, chummer? The Central Valley, ground zero of the water wars between small farmers and big corps? Green-and-gorgeous Northern California, with a thousand mutually hostile small towns and crack Tir troops stepping right up to the tripwire? Or try your luck along the Big Sur coastline - you can either die from environmental poisons or get carved into tiny pieces by the pirates and smugglers who own the place. How about Los Angeles, where rich si1msense stars and even richer producers live just the other side of a plascrete wall from starving orc kids and strung-out chipheads? Still think the Golden State is a great place for a shadowrun? The California Free State sourcebook describes the country of California. It features the movers and shakers, the hot spots, the war zones, the strange magic and the deep dark shadows of this independent nation that seems always on the brink of civil war. This sourcebook describes life throughout the Free State, focusing on Los Angeles, San Francisco, and the magic-rich Mojave Desert. A must for any California campaign, the California Free State sourcebook provides a wealth of adventure hooks, story starters, and rules for using them in your Shadowrun game. Also included are new rules for mutant critters, magical oddities, and toxic beings unique to California.",6.71429,14,1996
Into The Badlands,"This Badlands sourcebook provides a wealth of information on the inhabitants of the great desert. A perfect complement to the Terra Nova sourcebook, it focuses on people and events, including most of the principal actors in the desert setting, and emphasizes how their relationships are changing with the move to war. Some highlights of this book include: Paxton Arms New Settlements Rover Gangs The Northern and Southern Forces The Revisionist Church The Semi-Legendary Sand Riders",7.5,8,1996
Palladium Fantasy RPG Book II: Old Ones,"Back cover summary: The Monk Scholar O.C.C. and his coveted secrets. The Illusionist O.C.C. The Minotaur R.C.C. including warriors, the witch and Chaos Priest - all minions of the Old Ones. Over 50 different cities, towns, and forts; all described and mapped. Includes the Timiro Kingdom. Seven adventures and scores of adventure ideas. More frightening details about the Old Ones and their minions! More World information and history. Game Master and Player tips. Compatible with the entire Megaverse. Over 200 pages.",6.47222,9,1996
The Battle of Coventry,"From the back of the book: ""A failed alliance tears a nation apart. Ancient rivals join forces. The winds of change are blasting across the worlds of the Inner Sphere, and the battle for Coventry is the center of the storm! In early 3058, following the disastrous Trial of Refusal with Clan Wolf, Clan Jade Falcon launches a brutal campaign against the Lyran Alliance to regain its status among the invading Clans. As the Lyran Alliance tries desperately to marshal the necessary troops to stop this invasion at Coventry, military forces from all the major powers in the Inner Sphere converge on the war-torn planet. With massive troops poised on both sides of the conflict, the battle for Coventry threatens to explode into an all-out war with the Clans once again! Will the Truce of Tukayyid hold? The Battle of Coventry is a BattleTech scenario pack that describes the savage conflict between Clan Jade Falcon and defending forces of the Inner Sphere on the planet Coventry. A detailed description of the hard-fought battle, along with seventeen scenarios and special campaign rules, allows players to recreate the events that unfolded in the BattleTech novel Malicious Intent - and perhaps even change the course of history.""",6.0,3,1996
Shadowrun Companion,"From the back of the book: It's time to go beyond the shadows and take a look around. And you'll find lots of surprises... Make the most of your character! Expanded character creation rules let you customize your character with Edges and Flaws. A revised Skill Web and new rules for taining give your character more bang for the buck in learning and using skills. The flip side of contacts - enemies! New rules let you create foes large and small to keep your characters on their toes. When you really need Karma, how do you collect? Optional Karma rules offer you new ways to get, keep and use Karma. Why stick with shadowrunning? Play a DocWagon High-Threat Response Team, a street gang, a government covert-operations unit or even a shapeshifter! The Shadowrun Companion: Beyond the Shadows is a unique rules expansion for players and gamemasters. From character creation to retirement, from epic campaigns to one-shot adventures, from streamlined skill rules to options for tailoring the way magic works to best suit your game, The Shadowrun Companion has it all. This book expands and clarifies rules for character creation, skill use and defaults, contacts, Karma, magic and cyberware, and includes new rules for playing metahuman variants and shapeshifters. A guide to creating adventures and campaigns offers step-by-step techniques to help gamemasters get the most out of the Shadowrun universe. The Shadowrun Companion: Beyond the Shadows is compatible with all Shadowrun sourcebooks.",7.35714,21,1996
Nightlands,"""Nightlands™ takes the players into the strange and frightening domain of the demonic Nightlords! Places like Doom Harbor, a twisted version of New York City, and Devil City, the Nightlands' evil, mirror image of Los Angeles, and others. Discover the true power behind the Ba'al and their plans for Earth and the Nightbane. Highlights Include: * The world and people of the Nightlands™ revealed! * The Hierarchy of the Nightlords and villains galore. * New character classes, demonic minions, & strange powers. * New Nightbane™ Talents, Morphus shapes and data. * Campaign and adventure ideas.""",6.72727,11,1996
Endgame,"The conclusion of the four installments in the DarkStryder campaign! The New Republic ship FarStar has arrived at Moff Sarne's hidden lair, a distant planet once ruled by a long-dead species of scientists that were obliterated in a mysterious catastrophe thousands of years ago. The New Republic has finally caught up with Sarne, and is moving to end his reign of terror once and for all. Or are they? Contains: A full-length adventure that concludes the epic DarkStryder Campaign, Complete source material on DarkStryder's home planet, The history and origin of the Kathol Rift, The source of Sarne's mysterious ""DarkStryder"" technology.",7.2,10,1996
Outlaws of the Water Margin,"Publisher blurb: A Chinese Role-playing Game This game was initially inspired by the NTV/BBC TV show, broadcast in the UK and Japan many years ago. Since then I have done a fair amount of research on the subject, and the game has gone beyond its origins. The game is not a 'realistic' game in the tedious sense used in the role-playing fraternity. It is, however, an attempt to faithfully recreate the fantastic China of the source material, and such movies as A Chinese Ghost Story. User note: The game is self-published and comes in three zip files that contains html-files and pictures.",4.0,1,1996
Jedi Academy Sourcebook,"The secrets of the infamous Kessel Run, the Jedi praxeum on Yavin IV, the prototype Death Star, the terrifying Sun Crusher and more are revealed here in this sourcebook based on the Jedi Academy series of novels. Includes characters, events, technology, new Force powers, long-lost Sith lore from the Star Wars Expanded Universe.",6.75,12,1996
Sailing on the Seas of Fate,"A rulebook of ships & saling in the Young Kingdoms. Includes ""Ships on the Seas"", which includes rules and mechanics; ""Seafaring in the Young Kingdoms, which describes the nature of sailing in the world of Elric!; a digest of characters; a small bestiary; info on The Dark Ship; and ""The Curse of the Whisperer"", a scenario.",6.3,7,1996
Shadows of the Empire Planets Guide,"From the back of the book: ""The Shadows of the Empire Planets Guide features comprehensive coverage of the new planets of Steve Perry's best-selling Shadows of the Empire novel - from geography and politics to military organizations and famous people. Each chapter includes detailed adventure outlines. You and your group can be exploring the planets of Shadows of the Empire in no time. - Visit Greedo's jungle homeworld of Rodia, where hunting is not only the planet's favorite sport, but the most-honored profession. Just take care that you are the hunter and not the prey! - Vergesso Base is a very carefully hidden shadowport where all manner of scum and villainy gather to do business with the underworld. Get tangled up in the spice trade or the Rebellion, free a few friends from the slavers guild, or help fend off an Imperial assault. - Land on Bothawui and enter a world of spynets and intrigue. Immerse yourself in the Great Game by finessing the defection of an Imperial bureaucrat, or head for the wilderness to face predators with more direct ways of dealing with you. - Head for Kothlis, the frontier world of Bothan space. Run a sabotage mission Borsk Fey'la, or try to track down a missing Imperial courier droid before the Imperials can.""",7.64286,7,1996
"Classic Adventures, Volume 3","Three classic adventures, updated for Second Edition. Riders of the Maelstrom - Danger lurks aboard the Kuari Princess, as Rebel heroes try to uncover the shadowy purpose behind a top-secret Imperial rendezvous. But the Imperials are not the only threat the Rebels face as the Princess is beseiged by the dreaded pirate gang that hunts this region of space -- the Riders of the Maelstrom! Death in the Undercity - Beneath the surface of Calamari's majestic oceans, the tireless Quarren labor to provide ores crucial to the construction of Mon Calamari cruisers. Recently, a series of bizarre mining accidents has slowed production to a near standstill. Now it is up to a valiant team of Rebels to discover the source of these 'accidents'. Tatooine Manhunt - The legendary military commander Adar Talon is believed dead, long gone, all-but forgotten, or so the Empire would have you believe. They're wrong. He's still alive and the bounty on his head exceeds 50 million credits, but who's offering it? The Empire wants him, but do they want him dead, or alive? Bounty hunters are converging from all over the galaxy, but to protect him or hunt him? Even Jabba the Hutt is interested, but why? The Rebel Alliance wants him and the word is he's on Tatooine. Guess where you're going? 127 pages softbound.",7.83333,6,1996
The Thrawn Trilogy Sourcebook,"This is a single volume consolidation of 3 previously published sourcebooks - Heir to the Empire Sourcebook, Dark Force Rising Sourcebook, and The Last Command Sourcebook. The consolidated book reprints the contents of the original sourcebooks but the material is fully updated for second edition.",7.375,8,1996
Operation: Elrood,"A complete adventure in three acts for the Star Wars roleplaying game: Industrial Intrigue The Fixer, The Spy, and the Chud Death of a Star Destroyer From the back cover: ""The remote Elrood sector is on the brink of a major corporate war! Pirate attacks are destroying cargo fleets and a top Rebel operative has disappeared. As a brave group of Rebel operatives delves into the sector's intrigues, the question becomes ""Is the Empire the real enemy?"" Forced to ally with a crafty information broker, and hampered by assassins and terrorists, the Rebels are drawn to an Imperial stronghold world. Can they succeed in a desperate mission to cripple the forces of the Empire?"" Contains information on the Elrood sector including maps and diagrams of locations including Imperial bases, a zoo, an arena, a starport, a pirate base, etc. Also includes game statistics for various spacecraft and an all terrain pleasure vehicle.",6.77273,11,1996
Ye Booke of Monstres II,"From the back cover: All About Monstres This volume contains dozens of new races and individual creatures for use with the Call of Cthulhu roleplaying game. Included here are the following categories: Outer Gods, Elder Gods, Great Old Ones, Great Ones, Avatars, Servitor Races, Independent Races, Fabulous Creatures, and Unique Entities. These monstrous creations have been collected from over ten years of favorite Call of Cthulhu scenarios; others have been created specifically for this book. The darkly imaginative work of a diverse group of authors is represented here. Where possible each entry begins with a quote describing the monster or entity. Where much about the creature is known, there may be an additional description. If discussing a god, Great One, or Great Old One, notice of any human cult comes next. Further notes discuss habit, habitat, or attack. An essential aid for players, investigators, and keepers. ""I saw the form waver from sex to sex, dividing itself from itself, and then again reunited. Then I saw the body descend to the beasts whence it ascended, and that which was on the heights go down to the depths, even to the abyss of all being... The principle of life, which makes organism, always remained, while the outward form changed."" -- Arthur Machen, ""The Great God Pan""",5.83333,6,1996
Book of Crafts,"Walking Secrets... Once, I met a Chinese woman with hobbled feet and ancient eyes. Once, I fought a knight whose armor shone like burnished light. In the streets of Cairo, sharp-toothed men gnaw sinners' bones; in Haitian midnights, the Loa dance. Not all magi go to war, my young friend. Many dwell in the Titans' shade, the shadows of shadows. These so-called ""Orphans"" have families, Son, and their ways may be more ancient than our own Don't piss 'em off. - Hapsburg, Orphan Seer ...Ageless Ways... Those who see only the four sides of the Ascension Conflict ignore the ""Crafts,"" Magickal societies that forsake Traditions and Technocracy for the Paths of their ancestors. Templars, voodoo priests, alchemists and modern Amazons are just a few of the nine groups detailed herein. What tales might they tell? ...Precious Truths. The Book of Crafts: Whispers of Dissent presents eight magickal societies from the borders of the Ascension War, and includes: Histories, beliefs, organizations and magicks for each Craft. Templates, rotes and companion consors. Intrigues and mysteries most Traditions never see.",6.25,14,1996
The Guide to Herbs for RPGs,"From the introduction: Herbs have been a staple of fantasy literature for many years. Striders use of Athelas in “The Lord of the Rings” to cure Frodo, and Polgara’s herb lore in “The Belgariad” and “The Mallorean”, and Raistlin’s use of herbal teas to calm his cough in “Dragonlance” are [three] examples that come to mind. ... This guide was written in order to allow a more detailed method of using the Herbalism Non Weapon Proficiency than that provided in the Player's Handbook (AD&D 2e). It may be used only by characters with the Herbalism proficiency. A revised Herbalism proficiency which can be used in any FRPG [also is provided]. User summary: The document went through three major editions (3rd/4th/5th); the presumed 1st and 2nd Editions were not publicly circulated; the 3rd Edition was not widely circulated. While some game stats are provided, the sourcebook is easily used for any fantasy game. The document occasionally is encountered with the title ""The AD&D Guide to Herbs"".",0.0,0,1996
The Four Riders,"From back of the book: The Venusian Apocalypse Venus: the jewel in the crown of Bauhaus, site of their greatest cities and most productive factories. Home to two Cathedrals, and millions of staunch Brotherhood supporters. Venus is a bastion for the Brotherhood on the face of the evil of the Dark Legion. Yet might Venus stands as one of the largest and least explored of the colonized planets and hidden within its deep jungles are secrets that could undo all mankind. When the greatest of all evils escapes its bonds to wreak havoc there can be only one result: the final destruction of Venus and maybe the whole system. Unless of course someone can stop it first. The Four Riders Heimburg quakes in the wake of the Battle of the Second Seal. A lone Capital Officer plots the downfall of all humanity, starting with the city that is Bauhaus' pride and joy. The players becomes dupes in a scheme to release the deadliest plague mankind has ever known, a disease that could wipe out life on Venus in a matter of weeks. Framed for a crime they did not commit, our heroes must fight to prove their innocence and hopefully save the world from a madman's scheme for bringing an end to humanity's hold on the second planet from the sun.",7.6,5,1996
Prince's Primer,"Back of the Book: Gathered here for your edification and study are the thoughts on ruling of a half-dozen of the finest political minds the kindred have to offer. It is a dignified, reasoned collection of essays and notes intended to instruct ambitious Kindred in the tactics and techniques of successful, peaceful dominion. ""My only payment for the secrets I give you is your success, for it means that some traitor I knew five centuries gone has seen his last sunset."" Then again, maybe not. The Prince's Primer is a resource for Vampire: the Masquerade and Mind's Eye Theatre. It contains: - Thoughts from princes, anarchs and others on how to rule a city successfully - The infamous ""A Manifesto on Becoming Prince"" - Conclave reports, Tremere treatises, anarch memos and more!",6.44444,9,1996
SenZar,"""Break Through The Dream Barrier If You Dare"" From the back cover: ""For there on the other side awaits the multiverse of SenZar, where material gods walk the land, deific gods vie for the souls of the faithful, and mad eternals taint the prime with chaos at every turn..."" ""In the SenZar system players choose from among dozens of unique races, professions and freaks capable of invoking potent magicks, utilizing deadly combat disciplines, and creating their own martial arts, magicks, and artifacts of vast power. ""Conquering the mortal world, your character may choose one of three paths to true immortality, creating his own prime power, then vying with other immortals to conquer the cosmos — or to destroy it in a God War.""",3.5,2,1996
Chicago Chronicles Vol. 3,"WW2236: Chicago Chronicles Vol.3 An adventure for the Vampire: The Masquerade RPG. A re-issue of three previous adventure modules set in Chicago, Milwaukee by Night, Ashes to Ashes and Blood Bond.",6.28571,7,1996
Orc's Head,"This item was never released as a physical product but instead was made available on the publisher's website as either plain text or rich text format files zipped together with individual pictures of all of the monsters. The book was originally intended for print release, but the Savage Coast line was canceled. Description for the publishers website: The Orc's Head Peninsula supplement is part of the SAVAGE COAST setting. It deals with a primitive and barbaric land mass located to the west of the Savage Coast, inhabited primarily by nonhumans. To fully enjoy these adventures, the reader should have the SAVAGE COAST campaign setting.",6.3,5,1996
The Kathol Outback,"The second of four installments in the DarkStryder campaign series. The New Republic vessel FarStar has pursued the renegade Imperial Moff Sarne into the uncharted reaches of the Kathol Outback. Join the intrepid FarStar crew as they track Sarne's forces through this isolated and dangerous region of space. Contains: Extensive background information on the area of space known as the Kathol Outback. The 5 adventures: Plant Food, Little Empires, Wildfire, The Masters of Exocron, Galaxy's Edge. 96 pages softbound.",7.58333,12,1996
Rifts Index & Adventures: Volume One,"From back of book. Rifts Index & Adventures - Volume One is a combination index, sourcebook and adventure book! The index is a comprehensive reference that indicates which title and what page players and Game Masters can find specific characters, O.C.C.s, R.C.C.s, skills, psionics, magic spells, magic items, weapons, vehicles, equipment, places, Erin Tarn, monsters, D-Bees, the Coalition States, adventures, etc! The Rifts index includes the following titles: Rifts RPG, Source book one, Sourcebook 3: Mindwerks, Rifts Conversion book one, Rifts Conversion book 2: Pantheons of the Megaverse, Rifts Mercenaries, Dimension Books 1&2, and World books 1-6 (Vampire Kingdoms, Atlantis, England, Africa, Triax & the NGR and South America One). Highlights include: An index that is a GMs dream; Compiled by Craig Crawford. Over 40 pages of adventures, adventure ideas ands source material set in North America. Hints of things to come in Rifts World Book 11: Coalition War Machine. Adventures by Kevin Siembieda, Jolly Blackburn and others.",6.875,4,1996
Technocracy: Void Engineers,"Something's out there... ...and the Void Engineers are sworn to track it, trace it, explore it, and, if need be, exterminate it. Deep seas. Deep space. Alternate dimensions. Virtual reality. the palces too odd for most Technocracy agents are this Convention's playgrounds. The sense of wonder that drives them, however, might also spell their destruction. All around, their enemies gather - greedy for their secrets, jealous of their freedom. The ultimate peril, though, might come from withtin. After all, can even the Engineers touch the stars without getting burned? All You Think You Know is Wrong Technocracy: Void Engineers is the fourth in the insider's-view series about the Technomancer Conventions. this look at the Union's loosest cannons includes: Details about the ships, Devices, weapons and mages who explore and defend the hidden places. A detailed Umbral cruiser and its crew. Organization secrets, ranks, relationships and more.",6.5,13,1996
Eye of Doom,"From the back cover: After hiring a group of brave adventurers to help him “acquire” a beholder specimen, the mage Velinax disappears! Rumors blame an insidious thieves' guild called the Unblinking Eye for this turn of events. Why would the Unblinking Eye wish to “take care” of the mage? Why does the guild want to speak to anyone involved with Velinax? Finally, what dark goal does the guild truly intend to accomplish? Finding out the answers to these questions will lead doughty adventurers straight through the shadows of a crafty thieves' guild and onto the threshold of an even deeper and more dangerous darkness. Eye of Doom is the second of three adventures featuring the nightmarish beholder. It can be played as an individual mission or as part of the series that began with Eye of Pain and concludes in Eye to Eye.",6.66667,9,1996
Immortal Eyes: Shadows on the Hill,"Second volume of the Immortal Eyes chronicles for Changeling: The Dreaming. Back Cover: The Magical Islands Welcome to Hawaii, one of the world's natural splendors. From its glittering waterfalls to its firey volcanoes and black sand beaches, Hawaii is considered to be one of the most beautiful places in the world. Hawaii has long been a haven for Kithain seeking to flee the ravages of Banality. Here can also be found the native Menehune changelings intent upon keeping their islands free from the encroaching Banality. Dark Secrets The second installment of the Immortal Eyes trilogy, Shadows on the Hill picks up where The Toybox left off. The Immortal Eyes chronicle combines a trilogy of novels with a series of game sourcebooks. Shadows on the Hill takes the characters to Hawaii where they begin to learn the full scope of the Unseelie conspiracy. Descriptions of the main freeholds and inhabitants of the islands. Features three main stories designed to mesh with the Immortal Eyes chronicle. Complete information on the native fae of Hawaii, the Menehune.",5.85714,7,1996
Duelist's Handbook (1st edition),"The Duelist's Handbook brings Heavy Gear players into the ritualized and violent world of Gear dueling. The guardians of regimental honor, the stars of professional sports teams or the vicious gladiators of the underground, Duelists exemplify all the best and worst qualities of Terra Nova. The Handbook examines the duties and lives of the military, professional and underground duelists, and features three new Gear models, new weapons, Perks and detailed rules for small scale tactical combat. Seven prominent Duelists are also profiled, and details are provided on the city-state of Khayr ad-Din – an ideal roleplying setting for Duelists.",6.6625,8,1996
Mind's Eye Theatre: Laws of the Night (1st Edition),"Even in the Darkness Clans. Bloodlines. Disciplines. Character Creation. Derangements. Influences. Merits. Flaws. Paths. Archetypes. Abilities. FAQs. Everything you need to be a vampire. It's in here. All of it. There Are Rules, Laws of the Night is a pocket rule guide to Masquerade. Designed for quick reference and in-game use, it collects everything you need to make your Mind's Eye Theatre experience as smooth and free of rules hassles as possible. Read and Obey.",5.6,5,1996
The 23rd Letter,"The time is now. Psychics exist, not many, but enough - enough to worry those in power, and interest those who seek power. Governments and Corporations fight over them. The Network provides an imperfect refuge for those that escape the clutches of those who would abuse them or their powers.Thousands are maimed and killed each year by the Corporations and Governments. Some do this for power, some for defence, but they all do it, - for the next war will be fought with the mind - and the victor will control the destiny of the human race.",0.0,0,1996
Heroes' Lorebook,"From the back cover: They are the stuff legends are made of. In fact, they are the legends. The major characters who have fought--and in some cases died--for the sake of goodness and justice in all parts of the FORGOTTEN REALMS campaign world are chronicled for posterity in Heroes' Lorebook, a 160-page compendium of the heroes whose exploits have filled dozens of novels over the past decade. Inside you'll find updated game statistics and descriptions for Elminster, Drizzt Do'Urden, Alias, and many other characters who appeared in the the Hall of Heroes collection published in 1989, as well as a host of brand-new biographies for heroes such as Brianna and Tavis Burdun, Alicia Kendrick, Cadderly, and Danica, who have never been featured in a game product until now. No collection of FORGOTTEN REALMS gaming literature is complete without this ""Who's Who"" of the people--and creatures--who have prevented the forces of evil from having their way.",6.28125,16,1996
Throal: The Dwarf Kingdom,"From publisher blurb: UNEASY LIES THE HEAD THAT WEARS THE CROWN The kingdom of Throal is the heart of Barsaive, the center of culture, commerce and knowledge. The dwarfs united the people of Barsive and threw off the yoke of oppression; now traders and adventurers from the dwarf kingdom travel across the land, bringing prosperity and liberty to every town and village. But beneath Throal's stable suface, turmoil and political intrigue are simmering. Driven by ancient grudges and personal ambition, enemies of King Varulus lay dark plots for a future under a new ruler. An aging monarch, his small circle of lyalists, and a crown prince unready to shoulder the burdens of rule are all that stand between the Kingdom of Throal and disaster. Throal: The Dwarf Kingdom offers Earthdawn players and gamemasters an in-depth look at the mighty dwarf kingdom. From the bustling, noisy Grand Bazaar to the majestic chambers of the Royal Hall, the Kingdom of Throal encompasses seven cities full of people from all walks of life: dwarf merchants, ork tavern-owners, t'skrang swordmasters, windling thieves, and countless others. This sourcebook offers adventure hooks and reams of additional material for Earthdawn adventures and campaigns set in Throal and the surrounding area.",7.28333,15,1996
Wamphyri,"From the back of the book: Enter the bloody world of the Wamphyri - learn their powers, their secrets, and the joys and terrors that await you as one of their own. From the initial stages of infection through conflicts with ESPionage agents, this sourcebook gives you everything you need to know to run - or play - Wamphyri characters. This volume features new Advantages and Compensations, new skills, new psychic powers, and a full-length adventure",6.0,1,1996
Super Tuesday!,Cover: An election means work for those in the shadows. Dunkelzahn the dragon and five other candidates are running for president: that means five different chances for characters to dig up dirt and expose nasty secrets. This set contains five related adventures that can be used individually or together. It begins the Election of 2057 storyline.,7.54167,12,1996
Tactical Field Support,"Artillery and Ground Warfare Manual From the back cover: The Tactical Field Support manual contains additional rules and equipment for Dream Pod 9's exciting Heavy Gear mechanized science-fiction game. Within these covers you will find The all new Skirmish Scale, which brings more detail and a lot more action to small units combat A detailed advanced combat initiative system for small unit actions Advanced artillery rules, including barrage fire and locked-on artillery missiles Advanced minefield rules, including proximity, remote and jumping mines Optional rules for field engineering and close combat Eight new support weapon systems from the Light Artillery Unit to the monsterous Very Heavy Artillery Missile Four new Perks, more options to add to your vehicles And fully illustrated descriptions and game stats for 25 battlefield support vehicles",6.66667,9,1996
Mecha Manual 2: The Invasion Terra Files,"(from the book): The Terran-Imperial war turned the cold depths of space into a raging inferno, a firestorm of blazing plasma weaponry wielded by rampaging metallic warriors - Mektons! In the pages of this, the second of the Mekton Mecha Manuals, are all the mecha and their variations (47 in all) fielded by both the brave Terrans and the fearsome Imperials. But there's more - These Invasion Terra Files also give full description of 14 major characters and 14 Starships, as well as history and background info. If you've wanted to roleplay in the Mekton world of ""Invasion Terra,"" or if you just like mecha, then THIS is the book for you!",7.5,4,1996
Field Guide North 2,"The Terra Nova Field Guides series showcases the most common pieces of equipment used by the armies of the 62nd century. Combat and utility vehicles, Heavy Gears, striders: it's all there! This third 48-page volume in the series presents eighteen new vehicles for use in the Northern hemisphere. Many new vehicular weapons are examined in depth, as well as new perks and flaws. Ready-to-play record sheets and over 30 counters are included, showcasing all eighteen vehicles in full color. A must-have for all Heavy Gear players, regardless of their allegiance!",7.25,4,1996
